reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
cea70a7f-5a70-4838-973c-75e875ad9b87,Emmanuel Amoh,https://play-lh.googleusercontent.com/a/ACg8ocKXeIiTWv_ZuoAvi8r5GYF7IK3LHBidP5BSmzaTrLffi7P4YQ=mo,I can't install you tube why,4,0,13.04.55,2026-01-21 07:32:13,,,13.04.55
32b4bd03-595a-4e65-ba60-3f8d4b31494d,Rahul,https://play-lh.googleusercontent.com/a/ACg8ocI4Yzhf-mxFiNpQlpIiHbaGPaCio6G65Vi6n4jq3XYntQWnZA=mo,good 👍,5,0,21.03.36,2026-01-21 07:31:45,,,21.03.36
9a439aa7-66d6-437c-b8d6-0a64edf930ba,Noor Mohammad Mohammad,https://play-lh.googleusercontent.com/a/ACg8ocKry2X8Q_dAwDSQgY6qdq_l6YQtrmBdxVHehCbW7nKR0RYUeQ=mo,Butifull,5,0,20.26.40,2026-01-21 07:31:35,,,20.26.40
52587b57-afcb-43e5-8ab3-325276c4bcf0,Muhammed Asif,https://play-lh.googleusercontent.com/a/ACg8ocKY72IgkBpGDdp9tmLBZwtpOG6QKoEHp008PmIUQFcPQ_mP_A=mo,nice,1,0,13.04.55,2026-01-21 07:31:35,,,13.04.55
993b7a57-66cc-4f90-b4c3-a45cb475b37a,Chhotu Singh,https://play-lh.googleusercontent.com/a/ACg8ocKEzXlo1PpVb5VBUk6ntkoAHsnfOhIlZiDGeZO67TPv52A8bg=mo,I am very satisfied,5,0,18.46.41,2026-01-21 07:31:16,,,18.46.41
3f2f44a1-3792-4c91-8901-dffd356375f9,Freddy Buaton,https://play-lh.googleusercontent.com/a/ACg8ocKK45zl11Izx2g_ZO2cqo114UUEvKlEONayj3q24UcnK5_j1g=mo,bagus makin maju,5,0,20.51.39,2026-01-21 07:31:06,,,20.51.39
8941283e-8266-4846-91fe-a684fa4cdd2d,Rohit Bishnoi,https://play-lh.googleusercontent.com/a/ACg8ocKQQmacXUmySCmrbwgVU5_XT4rfa3rYhS1i3xWmaKlENEa1Mg=mo,nice app,5,0,19.20.33,2026-01-21 07:30:55,,,19.20.33
6bc737f8-a6c6-4d92-af79-635d8cf4e10e,Anju,https://play-lh.googleusercontent.com/a-/ALV-UjUtEA7bQ5LHdmd0a9sFNeZ8vLfoofunY1QDdrAwww_GD88Gcyw,bad,5,0,21.02.35,2026-01-21 07:30:08,,,21.02.35
3fdb738a-f3cd-49c4-942c-d305c77d0b86,Mustapha Amraoui,https://play-lh.googleusercontent.com/a-/ALV-UjUBp7xxu_wdMbxd7ybSoloCDun8jH5kZqfyWX0QfENbKXlO4Dlu,"app keeps opening itself while driving and using Google maps. when I close it, it starts again by itself.",1,0,21.03.36,2026-01-21 07:29:27,,,21.03.36
39d2d692-ea07-47fd-9376-01aa17f59369,mohan Choudhary,https://play-lh.googleusercontent.com/a-/ALV-UjXemr37ywZJnzRXbJiPwlI3qpt8hU8Ylv9yJB9oInyKAk9fLv0,garda!!,5,0,19.50.40,2026-01-21 07:29:26,,,19.50.40
fedbf46b-3fcb-4aea-89fa-b5ceb77cb0d4,Maryan Mohamed,https://play-lh.googleusercontent.com/a/ACg8ocIrTb_5KYbNrWyvIPVqwjMrIwDx0mBoIedExv78HfjtZZCkKw=mo,fgteev,5,0,21.02.35,2026-01-21 07:29:13,,,21.02.35
cd3d1175-a2cf-4d4c-aee9-af70a91dcbbf,Aahil Khan,https://play-lh.googleusercontent.com/a/ACg8ocKHPIT-CFmMUgUOvOGEQ5Fe88-5D2QmUKNjx_7hQI8bSR44Cw=mo,Owsom,5,0,17.11.34,2026-01-21 07:28:21,,,17.11.34
2a03648b-a20e-46b6-b8d4-8f5b5b962734,Mohan Lal,https://play-lh.googleusercontent.com/a/ACg8ocIFH4PXP2s-_7ec7CrfA4mYSeMyDAXgKHCiCwWzY9brUE3udw=mo,Not open app,1,0,13.07.55,2026-01-21 07:28:19,,,13.07.55
